State,Income,Size,Percent
SD,">=$75,000","1,689",9.2
TN,"< $15,000",679,24.2
TN,"$15-$24,999",869,14.6
TN,"$25-$49,999","1,131",12.7
TN,"$50-$74,999",535,12.8
TN,">=$75,000",832,9.0
TX,"< $15,000","1,646",13.3
TX,"$15-$24,999","2,311",12.6
TX,"$25-$49,999","3,073",10.9
TX,"$50-$74,999","1,788",9.7
TX,">=$75,000","3,805",9.1
UT,"< $15,000",917,19.3
UT,"$15-$24,999","1,739",15.9
UT,"$25-$49,999","3,173",14.2
UT,"$50-$74,999","2,460",12.5
UT,">=$75,000","4,533",11.7
VT,"< $15,000",468,24.2
VT,"$15-$24,999",849,23.0
VT,"$25-$49,999","1,455",16.2
VT,"$50-$74,999","1,015",11.6
VT,">=$75,000","1,746",14.3
VA,"< $15,000",691,21.9
VA,"$15-$24,999","1,279",15.5
VA,"$25-$49,999","1,900",12.0
VA,"$50-$74,999","1,279",12.2
VA,">=$75,000","2,965",10.3
WA,"< $15,000",719,23.1
WA,"$15-$24,999","1,200",15.4
WA,"$25-$49,999","2,188",13.8
WA,"$50-$74,999","1,590",12.7
WA,">=$75,000","3,089",13.8
WV,"< $15,000",768,23.2
WV,"$15-$24,999","1,045",14.7
WV,"$25-$49,999","1,440",12.7
WV,"$50-$74,999",728,10.7
WV,">=$75,000","1,075",11.4
WI,"< $15,000",585,23.1
WI,"$15-$24,999","1,052",15.6
WI,"$25-$49,999","1,846",12.5
WI,"$50-$74,999","1,077",9.2
WI,">=$75,000","1,738",8.9
WY,"< $15,000",412,17.4
WY,"$15-$24,999",901,15.7
WY,"$25-$49,999","1,424",10.5
WY,"$50-$74,999",933,11.6
WY,">=$75,000","1,553",11.0
GU,"< $15,000",355,16.7
GU,"$15-$24,999",446,15.1
GU,"$25-$49,999",682,9.6
GU,"$50-$74,999",318,10.1
GU,">=$75,000",452,10.7
PR,"< $15,000","2,313",18.9
PR,"$15-$24,999","1,331",17.7
PR,"$25-$49,999",879,16.9
PR,"$50-$74,999",229,13.5
PR,">=$75,000",199,11.3
